row_id,title,model,battery,price_range,zero_to_hundred,top_speed,fastcharge,germany_price_before_incentives,netherlands_price_before_incentives,uk_price_after_incentives,drive_configuration,tow_hitch,towing_capacity_in_kg,number_of_seats
1,Tesla,Model 3,57.5,104,6.1,201,690 km/h,"€41,970","€41,990","£39,990",Rear Wheel Drive,Towbar possible,1000.0,5
2,Tesla,Model Y,57.5,137,6.9,217,580 km/h,"€45,970","€45,990","£44,990",Rear Wheel Drive,Towbar possible,1600.0,5
3,Tesla,Model Y Long Range Dual Motor,75.0,130,5.0,217,670 km/h,"€55,970","€52,990","£52,990",All Wheel Drive,Towbar possible,1600.0,5
4,Tesla,Model 3 Long Range Dual Motor,75.0,106,4.4,201,770 km/h,"€50,970","€49,990","£49,990",All Wheel Drive,Towbar possible,1000.0,5
5,Tesla,Model Y Long Range RWD,75.0,109,5.9,217,710 km/h,"€49,970","€49,990","£31,995",Rear Wheel Drive,Towbar possible,1600.0,5
6,Byd,ATTO 3,60.5,121,7.3,160,370 km/h,"€37,990","€38,990","£37,195",Front Wheel Drive,Towbar possible,1500.0,5
7,Mg,MG4 Electric 64 kWh,61.7,102,7.9,160,630 km/h,"€39,990","€35,785","£29,495",Rear Wheel Drive,Towbar possible,500.0,5
8,Byd,SEAL 82.5 kWh AWD Excellence,82.5,107,3.8,180,540 km/h,"€50,990","€50,990","£48,695",All Wheel Drive,Towbar possible,1500.0,5
9,Tesla,Model Y Performance,75.0,152,3.8,250,640 km/h,"€60,790","€58,990","£59,990",All Wheel Drive,Towbar possible,1600.0,5
10,Bmw,i4 eDrive40,80.7,122,5.7,190,800 km/h,"€59,200","€62,992","£57,890",Rear Wheel Drive,Towbar possible,1600.0,5
11,Citroen,e-C3,44.0,90,11.0,135,340 km/h,"€23,300","€24,290","* £21,000",Front Wheel Drive,Towbar possible,550.0,5
12,Bmw,iX xDrive40,71.0,225,6.1,200,480 km/h,"€77,300","€84,998","£69,905",All Wheel Drive,Towbar possible,2500.0,5
13,Volkswagen,ID.4 Pro,77.0,114,6.7,180,650 km/h,"€46,335","€49,990","£46,035",Rear Wheel Drive,Towbar possible,1000.0,5
14,Byd,DOLPHIN 60.4 kWh,60.5,101,7.0,160,340 km/h,"€32,990","€35,490","£30,195",Front Wheel Drive,Towbar possible,0.0,5
15,Volvo,EX30 Single Motor ER,64.0,118,5.3,180,600 km/h,"€41,790","€41,495","£38,545",Rear Wheel Drive,Towbar possible,1400.0,5
16,Tesla,Model S Plaid,95.0,199,2.3,282,780 km/h,"€110,970","€108,990","* £100,000",All Wheel Drive,Towbar possible,1600.0,5
17,Tesla,Model S Dual Motor,95.0,167,3.2,250,800 km/h,"€95,970","€93,990","* £85,000",All Wheel Drive,Towbar possible,1600.0,5
18,Kia,Niro EV,64.8,111,7.8,167,390 km/h,"€45,690","€39,995","£37,295",Front Wheel Drive,Towbar possible,750.0,5
19,Hyundai,Kona Electric 65 kWh,65.4,116,7.8,170,400 km/h,"€47,190","€43,995","£38,595",Front Wheel Drive,Towbar possible,750.0,5
20,Tesla,Model 3 Performance,75.0,135,3.2,262,700 km/h,"€57,970","€56,990","£59,990",All Wheel Drive,Towbar possible,1500.0,5
21,Byd,HAN,85.4,146,3.9,180,450 km/h,"€69,020","€69,990","£31,995",All Wheel Drive,Towbar possible,1500.0,5
22,Cupra,Born 150 kW - 58 kWh,58.0,113,7.3,160,470 km/h,"€39,370","€36,939","£36,475",Rear Wheel Drive,Towbar possible,1500.0,5
23,Fiat,500e Hatchback 42 kWh,37.3,149,9.0,150,390 km/h,"€34,990","€34,490","£31,195",Front Wheel Drive,Towbar possible,1500.0,4
24,Byd,SEAL 82.5 kWh RWD Design,82.5,96,5.9,180,550 km/h,"€44,990","€45,990","£45,695",Rear Wheel Drive,Towbar possible,1500.0,5
25,Byd,TANG,86.4,199,4.6,180,420 km/h,"€71,400","€69,990","£31,995",All Wheel Drive,Towbar possible,1500.0,7
26,Dacia,Spring Electric 45,25.0,137,19.1,125,180 km/h,"€22,550","* €50,000","£31,995",Front Wheel Drive,Towbar possible,1500.0,4
27,Renault,Scenic E-Tech EV87 220hp,87.0,98,7.9,170,510 km/h,"€48,900","€47,970","£40,995",Front Wheel Drive,Towbar possible,1100.0,5
28,Bmw,iX3,74.0,184,6.8,180,520 km/h,"€67,300","€71,462","£64,165",Rear Wheel Drive,Towbar possible,750.0,5
29,Bmw,iX1 xDrive30,64.7,147,5.6,180,510 km/h,"€55,000","€57,850","£47,465",All Wheel Drive,Towbar possible,1200.0,5
30,Tesla,Model Y,57.5,137,6.9,217,810 km/h,"€45,970","€45,990","£44,990",Rear Wheel Drive,Towbar possible,1600.0,5
31,Skoda,Enyaq 85,77.0,111,6.7,180,670 km/h,"€48,900","€49,990","£44,540",Rear Wheel Drive,Towbar possible,1000.0,5
32,Nio,ET7 75 kWh,70.5,208,3.8,200,600 km/h,"€81,900","€84,900","£31,995",All Wheel Drive,Towbar possible,2000.0,5
33,Audi,Q6 e-tron quattro,94.9,170,5.9,210,920 km/h,"€74,700","* €80,000","£68,975",All Wheel Drive,Towbar possible,2400.0,5
34,Byd,SEAL U 71.8 kWh Comfort,71.8,126,9.3,175,320 km/h,"* €50,000","€42,990","£31,995",Front Wheel Drive,Towbar possible,1500.0,5
35,Mg,ZS EV Long Range,68.3,105,8.4,175,420 km/h,"€37,990","€40,185","£32,995",Front Wheel Drive,Towbar possible,500.0,5
